Image,Freq
HPAP-139_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8432
HPAP-139_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,8645
HPAP-146_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8211
HPAP-146_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,7764
HPAP-146_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,8128
HPAP-146_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,8686
HPAP-146_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,9057
HPAP-146_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,10536
HPAP-146_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8806
HPAP-146_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,14119
HPAP-146_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,8771
