,AL.oldAL1,AL.oldAL2,CR.oldCR1,CR.oldCR2
Ubxn4,1460,1605,1475,2926
Lct,1,1,2,15
Mcm6,55,38,28,95
Dars,345,504,374,600
Cxcr4,3,3,0,2
Thsd7b,2,6,3,5
Gm15675,8,0,0,0
Cd55,34,16,0,4
Gm16083,10,5,11,5
Pfkfb2,440,560,419,786
Yod1,64,68,69,108
AA986860,13,17,15,30
Gm15848,1,3,2,0
Pigr,3,9,2,3
Fcmr,7,7,0,0
Il10,4,0,2,1
Mapkapk2,520,385,357,1075
Dyrk3,54,47,79,39
Eif2d,155,240,210,391
Rassf5,83,97,131,147
Ikbke,128,152,134,215
Srgap2,1840,1905,1490,3633
Gm29488,31,42,36,83
Fam72a,5,8,6,10
Avpr1b,103,162,68,133
Ctse,14,14,1,1
Rab7b,0,3,0,1
Slc41a1,47,53,42,98
Rab29,12,7,5,11
Nucks1,310,340,339,706
Elk4,255,282,263,604
Mfsd4a,9,23,18,35
Cdk18,44,80,35,50
Nuak2,110,152,111,226
F730311O21Rik,1,1,0,1
Tmcc2,115,101,74,143
Dstyk,426,488,433,829
6030442K20Rik,25,47,42,47
Rbbp5,168,200,123,267
Tmem81,12,0,6,15
Nfasc,2526,2450,2130,4721
Gm10538,4,9,1,12
Lrrn2,22,20,0,17
Mdm4,1197,1513,1226,2552
Pik3c2b,22,21,15,10
Gm28609,0,2,0,0
Ppp1r15b,166,135,137,244
Plekha6,1846,2257,1406,3110
Gm19461,29,37,22,94
Golt1a,6,20,20,30
Gm28040,6,4,7,7
Etnk2,13,32,14,71
Sox13,247,317,267,362
Snrpe,27,48,20,54
Zc3h11a,80,103,97,137
Zbed6,737,795,538,1147
Lax1,15,17,2,25
Atp2b4,984,1066,800,2024
Gm28441,0,2,1,0
Prelp,0,0,0,0
Gm19497,9,9,5,18
Btg2,1699,2378,2129,3748
Adora1,4,10,3,10
Ppfia4,4,2,3,11
Gm57107,4,5,2,8
Tmem183a,177,210,157,394
Cyb5r1,34,46,51,55
Adipor1,379,244,373,875
Platr1,4,3,3,13
